Train_pred,Test_pred
-6.5062037,-6.714484
5.0797873,2.2407541
4.285126,1.2545762
4.9483085,1.2563803
4.564167,4.3592496
3.7461023,2.0197816
0.9518793,4.326002
3.2578619,1.9756083
2.6704729,3.2094965
0.4450039,2.0184553
3.834897,0.7146878
3.0127459,0.7151004
2.660378,2.9476328
4.133908,2.911315
3.853339,3.2243123
3.786043,2.667625
4.0384197,1.8951409
3.492974,3.6167035
1.1711149,2.6346192
3.8194082,-0.5444558
1.7290661,-0.5542069
2.4452143,2.814255
3.1237814,2.6555192
3.361843,1.9541103
2.4222078,1.9528039
2.2318087,5.1624413
3.3696847,2.3603578
3.2360697,-4.714758
1.3446959,3.5079544
3.9130173,1.155958
3.653074,2.6286976
3.2585592,2.5257578
3.2530339,2.8689237
2.9757485,0.43782043
3.102077,2.8452792
3.3956103,3.009965
3.012321,3.685835
3.0977163,3.12747
3.1165352,3.1765158
3.545788,0.33892727
2.7897077,-5.2466044
1.6747718,2.9712925
1.8598138,4.202299
1.3855889,1.249002
2.4564493,3.583136
3.615347,1.5378513
3.2276433,3.2137933
2.0977468,2.3839257
0.71301234,4.060969
3.077516,3.9105115
2.9556186,2.8696911
2.5726168,3.304256
3.2717404,2.9291148
3.497755,5.1356864
2.1039662,2.6502407
1.901263,2.6199355
3.5687761,2.9648347
0.24904132,3.256481
1.6067598,2.9241328
2.461742,3.3111954
3.149963,5.3376975
3.3575838,2.7844207
2.0760021,3.012737
2.6929612,3.6216764
2.5698297,5.305242
0.28874695,3.293218
1.8136299,3.7782047
3.3699648,3.7293415
1.4160073,2.8859322
-0.21388894,3.2605422
1.3073833,2.9835823
-2.3671064,1.8106349
0.79102474,1.6600842
2.5107985,5.5129843
3.7173996,1.614946
2.8474004,2.0507462
2.5265532,1.7171332
3.665254,2.8885887
3.741801,2.582022
3.7738717,2.8990412
2.6824713,1.4957392
3.6064773,-0.28095007
3.9766023,2.0136478
1.1637722,-1.7589806
4.935178,4.332172
3.5791693,2.1751814
-0.31972292,3.7125263
3.241849,-1.8001478
0.45367405,1.7487795
